Issue Type;Key;Priority;Status;Summary;Created;Description;;;;;
Story;CODEE01-41;;Closed;[eShop] Ability to report problems to business;27-03-2023;"As a B2B buyer 

I want to have ability of reporting to business in case I have any issues 

So that I can raise a case and get my problem solved




Acceptance Criteria
● The system shall support ability to raise a support case with business from [Contact us from Home page]
●  Case form will look like [TBD]
● The system shall allow to attach files to case
● The system shall allow to input description for case
● Once case created the system shall send email notification to [TBD CSS team]
● The system shall provide ability for B2B buyer to track case status and information from eShop
● The system shall send email notification and notification center at eShop to B2B buyer when case closed

Notes:
● The system will have new record type for business's cases
● The system will have new page layout for business's cases

 

UPDATE BY projet manager ON JUNE 7

Only 2 acceptance criteria are remaining:
● Once case created the system shall send email notification to customer service => PO is validating the content
● The system shall send email notification and notification center at eShop to B2B buyer when customer service replies to case in internal SF => PO is validating the content

We also have to apply the Business UI styles, I'm working with the UX/UI team and it's in progress.";;;;;
Story;CODEE01-60;;Closed;[Data Migration] Initial migration for Orders;27-03-2023;"As a business 

I want to have previous orders information in SF 

So that I can display orders history of B2B buyers in eShop




Acceptance Criteria
● Data will be loaded from file
● our provider shall provide template
● Data will be provided by business";;;;;
Story;CODEE01-57;;Closed;[Data Migration] Initial migration for Accounts;27-03-2023;"As a business 

I want to have accounts information in SF 

So that I can proceed with eShop clients




Acceptance Criteria
● Data will be loaded from file.
● our provider shall provide template
● Data will be provided by business

Notes:
● business Accounts will be loaded as new Account record type 
● Account object will have new pagelayout for business accounts

OR  we will reuse the business  ones (business will confirm)";;;;;
Story;CODEE01-59;;Closed;[Data Migration] Initial migration for Contacts;27-03-2023;"As a business 

I want to have contacts information in SF 

So that I can proceed with eShop clients




Acceptance Criteria
● Data will be loaded from file.
● our provider shall provide template
● Data will be provided by business

Notes:
● business Contact will be loaded as new Contact record type or we will reuse the business  ones (business will confirm)
● Contact object will have new page layout for business contacts or we will reuse the business  ones (business will confirm)
● Some contacts are in QAD but it's more for documents (invoices, credit notes...) so we will directly creates Contacts in SF (through file upload) and they will be manually maintained
● SF will be master for Contact
● In a V2, we can maybe plan an interface for SF to send the Contacts to QAD (if required by business)";;;;;
Story;CODEE01-42;;Closed;[eShop] Process Cases by CSS and SP;27-03-2023;"As a Customer Service Supervisor 

I want to have ability to process client's cases 

So that I can provide quality support to clients and increase their satisfaction




Acceptance Criteria
● The system shall provide ability to view cases in Internal SF which were raised by clients from eShop
● The system shall provide ability to designer ge cases by changing statuses,adding answer to case
● The system shall allow to assign cases to the queue [the rules will be TBD later]
● Case will be linked to Account and/or Contact
● The system will provide ability to select Order# for raising case. If user will select Order# then Case will be linked to Order as well";;;;;
Story;CODEE01-36;;Closed;[eShop] Products recommendation (manual);27-03-2023;"As a business 

I want to system support products recommendation based on our experience 

So that I can provide my clients the most relevant suggestions and reduce confusion




Acceptance Criteria
● The system will display recommended products at standard 'recommended Products component' on the PDP
● Recommendations shall be pre configured per product
● For the MVP it will be a manual configuration, but in the V2 we will turn on the Einstein AI ";;;;;
Story;CODEE01-39;;Closed;[eShop] Reorder process (including Orders history);27-03-2023;"As a B2B buyer 

I want to have ability to reorder my previous order(s) 

So that I can place order quickly




Acceptance Criteria
● The system shall provide access to Orders history
● Order History will look like the list of previous orders with ability to
● — filter by order date
● — sort by most recent or older orders
● — Reorder any of orders without click on View Details
● — View order details- Reorder will be available from Orders list page and from Order details page
● Order list page = Order History where we can click on button 'Reorder'
● Order history will include all orders which were placed for client and by client at eShop and QAD";;;;;
Story;CODEE01-66;;Closed;[General] Configuration of the Deployment process.;27-03-2023;"As a Tech 

I want to story 

So that I can N/A 




Acceptance Criteria
Basic configuration of automatic deployment process";;;;;
Story;CODEE02-21;Highest;Closed;GA4 Dashboard;22-03-2024;https://www.monurl.com/ ;;;;;
Story;CODEE02-89;Highest;Closed;Pdf update - Add a Logo & a copyright;10-09-2024;"Website : Business :
https://www.monurl.com/ 
 
Request:
 
On all product pages: (eg. https://www.monurl.com ), in the generated PDF (accessible when you click on the print button):
 
We need to add:

1. Business Logo in the header of the pdf  screenshot            
2. The mention © Copyright Business 2024. All rights reserved. ( According feasibility in all footer (preferred) OR last page footer)    
3. The number of pages (1/2 // 2/2) -> if feasible       
 
 
 
 
I need it for Wednesday 11, morning the latest. The MVP is Business logo on the page.";;;;;
Story;CODEE01-749;Highest;Closed;Force 0 shipping fee for specific domestic customers;05-10-2023;"Current behavior: 

● For domestic customers we have a shipping fee rule in place:
    ◦ If the order amount is equal or greater than 500£ then we have free shipping
    ◦ If the order amount is below 500£ then we have 15£ shipping fee 
 

Expected behavior:
● We need to keep the existing rule but there are specific domestic customers that ALWAYS have free shipping so we need to implement another rule:
    ◦ For the domestic customers listed in the table below, always give them free shipping even if the order amount is below 500£
● Also please update Confluence documentation https://monurl.com 
";;;;;
;;;;;;Customer;Name;;;;
;;;;;;100016;Product ;;;;
;;;;;;101386;Product ;;;;
;;;;;;101387;Product ;;;;
;;;;;;101388;Product ;;;;
;;;;;;101389;Product ;;;;
;;;;;;101390;Product ;;;;
;;;;;;101391;Product ;;;;
;;;;;;101392;Product ;;;;
;;;;;;101393;Product ;;;;
;;;;;;101394;Product ;;;;
;;;;;;101395;Product ;;;;
;;;;;;101587;Product ;;;;
;;;;;;101756;Product ;;;;
;;;;;;101812;Product ;;;;
Story;CODEE01-765;Highest;Closed;Update order confirmation email ;17-10-2023;"We need to update the order confirmation email sent to:

● Customer
● Customer Service 
In the current template, we have these columns:

● Product Total
● Promotions
● Total With Promotions 
We need to only have one column:

● Product Total 
If there is a promotion:

● We need to show the original price without promotion with a strike through
● And next to it, in the same column, the price with promotion 
    ";;;;;
Story;CODEE01-25;Highest;Closed;[eShop] Ability to request access for eShop;27-03-2023;"As a B2B buyer 

I want to have ability to request access for eShop 

So that I can improve my process and make orders quicker




Acceptance Criteria
The system shall support requests for eShop registration from [URL] page

Application form shall have the following fields : 
● Company Name: mandatory
● Company registration number: optional
● Country, Address: mandatory
● Contact first name and last name: mandatory
● Phone: mandatory
● Email: mandatory

If user already has access to eShop and try to apply again then the system shall display error [text TBD]

If user doesn't have access to eShop then the system will (based on 
  
   CODEExx-xxx
  ):
● Create case record
● Trigger email to customer service 
● Then offline process will follow where customer service will review the potential new B2B buyer and if all criteria are met they will manually create the account in MDM which syncs with QAD & SF and then they will have to manually create the user in internal SF 
● Once user is created in internal SF, system should send email notification with credentials
● Include instructions for customer service in userguide

Scenario(s)


 
Scenario 1:
GIVEN B2B buyer without access to eShop
WHEN B2B buyer goes to [link] --> clicks on 'Apply/registrate' button --> populates all required fields --> clicks on 'Save'
THEN The system places Request for new eShop user registration AND sends email notification [emails TBD]





 
Scenario 2:
GIVEN B2B buyer WITH access to eShop
WHEN B2B buyer goes to [link] --> clicks on 'Apply/registrate' button --> populates all required fields --> clicks on 'Save'
THEN The system will display error message [TBD]



";;;;;
Story;CODEE01-342;Highest;Cancelled;[QAD Integration] Trigger email when QAD integration is down;12-06-2023;"As Digital agency& Business business, 
 
I want to know when the SF x QAD integration is down
 
So that I can double check the orders placed during this PO and coordinate with the Digital agencyQAD team to restore the integration as soon as possible
 
 
 
Acceptance criteria:
 
User 1 User 2 has discussed in our call today, we need to:

● Create a simple flow to trigger an email 
● Send the email to a distribution list 
● We also need a kind of report to see when it was last synced successfully 
 
 
Email content:
 
Hello,
 
You are receiving this email notification because the integration between Salesforce Business and QAD Business is down. Please contact the QAD team.
 
This email was automatically generated, please do not reply.
 
 
 
Email distribution list for test:

● example@email.com    
● Whoever is testing can also include their email to make sure it sends to multiple people 
 
 
Email distribution list for PROD:

● example@email.com   
● project manager is confirming with Digital agency& Business business the other emails";;;;;
Story;CODEE01-760;Highest;Closed;Master login - Add modal pop up on last step of checkout;13-10-2023;"Goal: 
 
When using the master login, on the last step of the checkout, we need to add a modal pop up so CS is reminded of which user and account they are logged in with so they do not accidentally place an order for the wrong customer
 
 
 
Behavior:
 
This modal pop up should only appear when using the master login, not when a regular customer places an order
 
This modal pop up should appear when the order summary page loads so first they have to confirm on the modal pop up and then they can review everything and click on REQUEST ORDER at the bottom
 
 
 
Styling & content:
 
Styling: Please use the Business styling
 
Title: CONFIRMATION REQUIRED
 
Text: You are about to request an order for [user email] from [account name]. 
 
Buttons:

● CONFIRM
● CANCEL 
In both cases, for the buttons when they click on CONFIRM or CANCEL we should just close the modal pop up
 
If they are logged in with the right user and account then they can click on REQUEST ORDER
 
And if they realize they are logged in with the wrong user and account then they can click on LOG OUT in the yellow br at the top
 
       screenshot";;;;;
Story;CODEE01-778;Highest;Closed;Create new profile for logins;03-11-2023;"User 1 



We will assign logins to all dummy customers, so please create a new profile and do the necessary configurations

We will keep members for real customers";;;;;
Story;CODEE01-74;Highest;Cancelled;[Reports] Product statistic;27-03-2023;"As a business 

I want to have ability to run reports related to products 

So that I can manage our products in more effective way




Acceptance Criteria
The following reports shall be available in Salesforce:

– Rating of products => What is this based on ?

– Best sellers per region / per category";;;;;
Story;CODEE01-73;Highest;Cancelled;[Reports] Clients statistic;27-03-2023;"As a business 

I want to have ability to run reports related to client's actions 

So that I can track clients behaviour and manage them in more effective way




Acceptance Criteria
The following reports shall be available in Salesforce:

– Orders history per Account

– Orders per months Qty and Value

– Ratings of products per Accounts";;;;;
Story;CODEE01-75;Highest;Cancelled;[Reports] Promotions results;27-03-2023;"As a business 

I want to have ability to run reports related to promotions 

So that I can see which promotion went well 




Acceptance Criteria
Simple promotions statistic like:

– How many clients use coupon

– Discount uses";;;;;
Story;CODEE01-88;Highest;Closed;[Go-live] User Documentations;27-03-2023;"As a business

I want to have proper documentation

So that I can support system in future and have source of thruth 




Acceptance Criteria
– User documentation

– Tech documentations about how custom components work (confluence)";;;;;
Story;CODEE01-500;Highest;Closed;Update order statuses & integrate AD numbers;12-07-2023;"Expected order process & statuses: 

1. Customer requests the order in the eShop
● Status = Waiting for Approval 
2. Order gets replicated in QAD
3. Customer service amends the order in QAD (adds products, adjusts quantities, adds freight fees, adds discount at header level...) and marks order as confirmed (they have to go through actions on the QAD browse to confirm it, they can't just tick the box)
4. Customer has to confirm / reject the order on the order detail page (they get notified by email) --> This step is specific to export
5. When customer has confirmed the order but the AD number is not yet generated --> This step is specific to export as well
● Status = In Progress
6. AD number gets manually created in QAD by Bev (AD is everything related to shipping)
● Status = Picking
● AD = Bill of Lading in QAD, see screenshots 3 and 4
● We should show the AD number that we can find at line level in QAD on the order detail page, see screenshot 3
● 1 order can have multiple AD numbers, but there is only 1 AD number open per shipment --> Once the products are picked and the shipment is complete then the existing AD number disappears and the next AD number can be created (against a back order for example)
● 1 AD number can have multiple orders
● We won't be able to test this in UAT because it's linked to QAD TEST and Bev is not able to generate the AD number in QAD test, also we have to generate the AD number through the application and we cannot do it through the WEB UI so we will even have to ask Bev for help when testing on PROD
7. Financial invoice number gets generated once the order has been processed through TMS and then posted by the accounts team 
● Status = Complete but only once every single line of the order has been shipped
● There can be multiple financial invoice numbers for a single order
● We should show the financial invoice number on the order detail page if we can => Keep for V2 
The statuses should be updated on the order history tables and the order detail page, and it's valid for eShop & external (QAD) orders --> See the first 2 screenshots
 
 
 
Expected order refresh logic:

● Orders should be refreshed every hour
● We should only refresh orders that are marked as confirmed  
 
screenshot 
screenshot
screenshot 
screenshot    
 
        
 
 
 
AD number in QAD:
 
        
 
        
 
Invoice number in QAD:
 
        ";;;;;
Story;CODEESS-521;Highest;Cancelled;Gtranslate issue;09-11-2021;"
 Gtranslate – Our Picklist is not linking us to our Gtranslate:



 

Update on January 20  ( next to a call with  and Noemie) 

 

Issue identified : 
 1. As a user I navigate on the website and consult a page that is not the home (any page doesn't User 2er what ex : https://www.monurl.com 
2. On the page consulted, I click on the selector and change the language (ex : From english select french ) 

3. The url that we get is in english whereas the content is in french  https://www.monurl.com 

4. Navigate on the main menu, and click on whatever other page (ex : Produit > Filtre ) 

5. The url we get is in french[ https://www.monurl.com 

6. From there, if you navigate every url would be in french (even the one that was in english at step 3) 

=> Same behaviour with every pages, exept home , the url of first page after using selector is in english whatever the language you choose (just url not content) 

 

Behaviour expected : 
screenshot
1. After using the language selector, the url should be one the correct language. 
 A few exemples : 

screenshot

French :https://www.monurl.com/fr/products/filters should be  ** https://www.monurl.com/fr/produits/filtres  
 German : hhttps://www.monurl.com/de/products/filters should be https://www.monurl.com/de/produkte/Filter ** 

 

 

 

FYI 

 

Regards,

h";;;;;
Story;CODEESS-491;Highest;Cancelled;Temporarily Unavailable error still happening on Prod-Business;25-08-2021;"I was going to the beams page from the left nav and got the temporarily unavailable error
 
 screenshot       
 

 
 ";;;;;
Story;CODE01-234;Highest;Closed;050 - Region selector + Geolocation popin ;09-05-2023;"As a user I can see the geolocation popin :


● when I first connect on the website 
● when I try to consult an url that doesn't match with my geolocation (ex : I'm from USA but try to access www.business.com/product/product-A) 

As an editor I canno't edit this section.

screeenshot
screenshot 
screenshot

Composed of the following non editable elements : 
● ID 1 - Logo : Not clickable
● ID 2 -  Title : Do yo want to visit [geolocated region] of the website ? 
● ID 3 - Description : Our system detects you are in [geolocated country]
● ID 4 - Yes button  : 
    ◦ when user click, detected region become active, popin is closed and the website display only content available in the active region. 
    ◦ I can't close this pop-in or navigate through the website, before selecting an option (yes or no)
Note : Once the user made his choice, it will be memorized for his future sessions.
● ID 5 - No button : __ 
    ◦ Case 1 : I consult Business website for the first time, and the url I try to access match with my geolocated region
● 
    ◦ 
        ■ When user click on no, the region popin is displayed so the user can choose the region he wants to consult among : Europe, Noth America & cdesigner da, South America, Asia Pacific, Middle East / Africa. 
        ■ 
    ◦ Case 2 : I'm geolocated in EU region, and try to access an url with /en-us/ content. 
        ■ When user click on no, the US url is displayed. 

 

Specific rules :
● We should keep the user choice in cookie, in order not to display the geolocation popin each time he connects to the website.
● Every content type should be related to a region.
● Tanonomies will be similar for all the regions 
● For each region, some languages will be available Into the language selector, and other will not. 
● When user create a content, by default it should be automatically related to all region except North America

 
  
   
    Region active
    Language available
   
   
    Europe
    Default language : EN (uk)
Other languages available : DE, FR, PL
   
   
    North America & Cdesigner da
    Default language : EN (us)
   
   
    South America
    Default language : EN (uk)
Other language available: ES-AR, FR
   
   
    Asia pacific
    Defaut language : EN (uk)
Other language available: CN (external link)
   
   
    Middle East  Africa
    Defaut language : EN (uk)
Other language available : FR
   
  
 


 

 


 
  
   
    ID scenario
    Test
   
   
    1 First connection - Geolocation
    As anonymous user
When connecting for the 1st time on the website
Then I can see the geolocation popin with title, description + CTA. 
And the geolocation information are correct
   
   
    2. Accept geolocation
    As anonymous user
When connecting for the 1st time on the website and click on yes Then  it close the popin And I can see to the homepage, with content related to my region. 
   
   
    3 Reject geolocation
    As anonymous user
When connecting for the 1st time on the website and click on no 
Then I'm redirected to the region popin to choose my region 
And by default ""Validate"" button is disabled
   
   
    4 Mobile display
      * As anonymous user
● When displaying the block in mobile (IOS and Android)
● Then I can see the correct expected display
   
   
    5 Try to consult USA content from EU
    As anonymous user geolocated in Europe
When I try to access a content available only in US by click an url with the following format (www.business.com/en-us/)
Then the geolocation popin is displayed  with the following title "" DO YOU WANT TO VISIT THE EUROPE VERSION OF THE WEBSITE?""  
And if I click on ""YES"" I'm redirect toward www.Business.com 
   
   
    6 Consulting EN UK content 
    As anonymous user geolocated in Europe
When I try to access a content available only in US by click an url with the following format (www.business.com/en-us/products/productsUSA)
Then the geolocation popin is displayed  with the following title "" DO YOU WANT TO VISIT THE EUROPE VERSION OF THE WEBSITE?""  
And if I click on ""NO"" then I'm redirect toward www.Business.com/en-us/productsUSA 
   
  
 
";;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
;;;;;;screenshot;;;;;
Story;CODEE01-529;Highest;Closed;Make sure live chat is in the mode where all agents are offline for go live;17-07-2023;"EXPECTED BEHAVIOR


● For the go live we need to make sure the live chat is in the mode where all agents are offline so users just get the case form and can submit a case, I think it will be like that by default anyways since someone has to manually make themselves active in the service console but let's double check 

example@email.com  example2@email.com  ";;;;;
Story;CODEE01-62;Highest;Closed;[General] Process of activation internal and external users in the Production env.;27-03-2023;"As a Tech 

I want to story 

So that I can N/A




Acceptance Criteria
Setup users on productions with correct permissions and Activate them

 

INTERNAL USERS

Info in Teams document: business-salesforce-access.docx

 

B2B BUYERS

PO to provide information";;;;;
Story;CODEE01-63;Highest;Closed;[eShop] Configuration of the sub-domain for the B2B portal;27-03-2023;"As a Tech 

I want to story 

So that I can N/A




Acceptance Criteria
Setup custom domain for SF portal , for better integration with web site

 

Sub domain name confirmed: www.monurl.com

projet manager will configure the domain name, but she needs the CNAME where the sub domain will point, please provide this  ";;;;;
Story;CODEE01-51;Highest;Closed;[Integration with QAD] Get Prices for products;27-03-2023;"As a business 
I want to have prices from QAD in eShop 
So that I can our clients have up to date data 
 
 
 
UPDATE following our pricing meeting with business on 12/06:
 
Export:

● We have a net price list per customer
● SF will only use the field “list price” => See the below screenshot
● Right now we don't have EX at the beginning of all export price list names in QAD PROD but business will update it
● Below are the price lists names in QAD, business is in the process of updating them to the new names and latest prices:
    ◦ ABCDE21=> ABCDE23
    ◦ ABCDE21 => ABCDE23
    ◦ ABCDE21 => ABCDE23 
         
 
 
 
Domestic:

● Calculation (see the second screenshot for an illustration): start from the list price (which is our base price = 33.08 in the first screenshot), remove the standard discount (UKST, 45%) and then from this remove the extra discount at customer level
● 2 options for the new UK pricing logic for all of their customers except Amazon (10160), PPG EUOR (10130)and Halfords(10150) (business has not yet decided which logic to implement but their favorite is the first):In QAD test we have the standard discount file but we can’t see the net price anymore => Business needs to add the net price to keep using this logicMove to the same model as export, meaning one net price file per customer 
In SF we should test option 1 for now as that is business' favorite:
screenshot
● In SF we will save the base price and the final price that customer will pay 
        
 screenshot
screenshot
                                                  ";;;;;
Story;CODEE01-352;Highest;Closed;Order detail page - Add inco terms [new];14-06-2023;"As a B2B buyer,
 
I want to see the inco terms 
 
So that I have the correct and up to date information
 
 
 
Acceptance criteria:
 
Account page

● Add a field to show the inco terms on the account page (the field in QAD is called freight terms) => See the second screenshot 
Order detail page

● Add a field for inco terms on the order detail page (the field in QAD is called freight terms) => See the first screenshot 
For both pages

● We should show the value of inco terms for example DAP
● We should also show the description of the value for example DAP = delivered at place so the B2B buyer understands it => We need to implement a mapping between the value and the description 
● The B2B buyer should not be able to modify this field, it's read only (only User 2 can change the inco term value directly in QAD)
● Note that the inco terms at account level can be different than the inco terms at order level, which is why we have to show it on both pages 
          
 
 screenshot 
 
 ";;;;;
Story;CODEE01-72;Highest;Closed;[eShop] Credit Limit Check During Checkout Process;27-03-2023;"As a Customer Service Supervisor 
I want to have ability to review and approve orders in Salesforce 
So that I can process client's orders 
  
Acceptance Criteria

● The system shall allow to review orders which were created by clients in eShop
● The system shall allow to edit client's order if order was not processed- The system shall allow to mark order as 'Approved'
● Ability to Add freight charges (manually)
● Credit check (ensure QAD lookup holds any orders where limit exceeded) 
 
 
UPDATE BY projet manager ON JUNE 7
 
New acceptance criteria
 
Ignore the first 3 bullet points, they are out of scope
 
Only the fourth bullet point is in scope:

● We need to do a credit limit check in QAD during the checkout process, the field we need to look at is called ""Fixed Credit Limit"" => See below screenshot
● If the credit limit is exceeded, we still allow the customer to place an order but we display the below warning message on the order confirmation page once the customer has finished checking out and has placed their order 
Warning message: 
 
Your credit limit is exceeded and your order cannot be processed. Please contact us:

● Accounts Puser ble – example@email.com    
● Customer Services – example2@email.com  
● Account manager – [Is this something we can retrieve from internal SF?] 
Please, also add sync of incoterms field - see the screenshot from https://monurljira.com/browse/CODEE00-000
 
 
 screenshot
        ";;;;;
Story;CODEE01-53;Highest;Closed;[Integration with QAD] Account information : status (block/hold),balance,addresses;27-03-2023;"As a business 

I want to have Accounts information from QAD in SF 

So that I can our clients have up to date data about account in eShop



 

New custom field to be created on the Contact Point Address object to store the ship to ID in Salesforce (as External ID)

 

Meeting with :
● MDM will create the customers and push them to Salesforce under business  record type
● A scheduled job in Salesforce will be used to bring data from QAD to Salesforce (payment terms, Incoterms, ect…)
● The scheduled job will hit only business QAD domain so all the accounts (customers/dealers) updated with the new data will be also updated to have the business Customer record type
● Once the piece of code will be ready, this can be tested in Salesforce
● Conclusion: nothing will change on the Light CRM design approved with the business: new Customer business record type will be created and used";;;;;
Story;CODEE01-503;Highest;Closed;Order detail page: Map discount at header level;13-07-2023;"Business UAT
 
ETAPEL BUYER = EXPORT
 
In QAD TEST I have a 2.5% discount at the header level
 
 screenshot
 
Current result:

● In business UAT I don't see this 2.5% discount in the totals 
Expected result:

● I should see the 2.5% discount at header level in my totals, I think this field is already mapped but we need to display it on the eShop 
        screenshot";;;;;
Story;CODEE01-71;Highest;Closed;[eShop] Orders creation behalf of client;27-03-2023;"As a Customer Service Supervisor 

I want to have ability to create orders behalf of client in SF 

So that I can easy create orders which clients send by email




Acceptance Criteria
● The system shall allow to create orders in eShop behalf of clients --> which is means that CSS will be login as B2B buyer and place the order.
● Orders shall be available in eShop for client behalf of who it was created
● Order shall have the following :
● – Order number
● – Account
● – PO number
● – Billing address
● – Shipping address
● – Delivery method
● – Due Date
● – Order's lines with Products/Qty/Price
● The Order will be processed in the same way as Orders which raised B2B buyer";;;;;
Story;CODEE01-525;Highest;Closed;Create net pricing report in SF [new];17-07-2023;"

As discussed in our daily today 17/07:

Let's go ahead and create the net pricing report in SF so we can verify the prices are correct

QAD TEST has been updated, we should have the same logic in QAD PROD and QAD TEST now
";;;;;
Story;CODEE01-44;Highest;Closed;[Internal SF] Products management process (including Setup featured products);27-03-2023;"As a Marketing user 

I want to have ability to manage product catalogue 

So that I can provide up-to-date products information to clients




Acceptance Criteria
● The system shall support ability to mark products as featured- The system shall support ability to mark products as new
● The product will have the following fields [see Product template]
● The system shall provide ability to change products data (ONLY for data which will be mastered in SF but not from QAD)";;;;;
Story;CODEE01-48;Highest;Closed;[Integration with QAD] Send orders from eShop to QAD;27-03-2023;"As a business 

I want to get orders from eShop in QAD 

So that I can review orders and process them as usual




Acceptance Criteria
● The system shall send from eShop to QAD system Order once B2B buyer completes checkout process
● The following data shall be sent to QAD:
● – Order number
● – PO number
● – Account information (name/code)
● – Shipping Address,Billing address
● – Preferred delivery method
● – Due date
● – 'Confirmed' checkbox in Uncheck state
● – Products Code
● – Product Qty
● – Unit price

 

If QAD is down for some reason when an order is being placed on the eShop:

–  'Retry mechanism' will be implemented for sending orders to QAD. 

– The system will send orders from SF to QAD every N hour (frequency will be configured in the custom settings) => add steps in userguide so admin knows where to configure it

– Order will have status 'Waiting processing' ";;;;;
Story;CODE01-122;Highest;Done;003 - Footer - Open regional popin in footer;13-04-2023;"As a user, I should be able to open the regional pop-in from footer  
  screenshot
 
When opened, popin is diplayed with active region preselected 
 
    screenshot  
 
Acceptance criteria : ";;;;;
;;;;;;ID scenario;Test ;;;;
;;;;;;1  Display;"As anonymous user
Whenclicking on the regional field on footer
Then I can select on other region, and the website get actualised with the correct offer. ";;;;
Story;CODEE01-47;Highest;Closed;[Internal SF] Sending emails automatically;27-03-2023;"As a business 

I want to system sends email automatically for the certain cases 

So that I can improve clients experience and reduce the number of manual emails




Acceptance Criteria
This story is a placeholder for the list of email automations.The list of emails you can find in attachment

!!! Please note some automatic emails will be implemented within other stories (be defined at building stage)";;;;;
Story;CODEE01-52;Highest;Closed;[Integration with QAD] Get Products;27-03-2023;"As a business 

I want to have products from QAD in eShop 

So that I can our clients have up to date data";;;;;
Story;CODEE01-46;Highest;Closed;[Internal SF] Setup Product Qty rules process;27-03-2023;"As a Marketing user 

I want to have ability to set min qty for selling per product 

So that I can reduce clients mistakes during order process




Acceptance Criteria
● Quantities rules are available from Product
● The system allows to have separate qty rule per product
● The system allows to setup Min Qty/Max Qty/IncrementIt is out of the box functionality which will help with case buy not less than X";;;;;
